part_id,operator_id,operator_name,trial,measurement_value,nominal_value,USL,LSL,unit,equipment_id,timestamp,batch_id
P01,OP1,Alice,3,25.031675,25.0,25.5,24.5,mm,CMM-001,2024-01-15T13:00:00,BATCH-2024-001
P02,OP1,Alice,3,24.831536,25.0,25.5,24.5,mm,CMM-001,2024-01-15T13:05:00,BATCH-2024-001
P03,OP1,Alice,3,25.102454,25.0,25.5,24.5,mm,CMM-001,2024-01-15T13:10:00,BATCH-2024-001
P04,OP1,Alice,3,25.146553,25.0,25.5,24.5,mm,CMM-001,2024-01-15T13:15:00,BATCH-2024-001
P05,OP1,Alice,3,24.708911,25.0,25.5,24.5,mm,CMM-001,2024-01-15T13:20:00,BATCH-2024-001
P06,OP1,Alice,3,24.812268,25.0,25.5,24.5,mm,CMM-001,2024-01-15T13:25:00,BATCH-2024-001
P07,OP1,Alice,3,25.014476,25.0,25.5,24.5,mm,CMM-001,2024-01-15T13:30:00,BATCH-2024-001
P08,OP1,Alice,3,24.954308,25.0,25.5,24.5,mm,CMM-001,2024-01-15T13:35:00,BATCH-2024-001
P09,OP1,Alice,3,25.004361,25.0,25.5,24.5,mm,CMM-001,2024-01-15T13:40:00,BATCH-2024-001
P10,OP1,Alice,3,24.868641,25.0,25.5,24.5,mm,CMM-001,2024-01-15T13:45:00,BATCH-2024-001
P01,OP2,Bob,3,25.052732,25.0,25.5,24.5,mm,CMM-001,2024-01-15T13:50:00,BATCH-2024-001
P02,OP2,Bob,3,24.838721,25.0,25.5,24.5,mm,CMM-001,2024-01-15T13:55:00,BATCH-2024-001
P03,OP2,Bob,3,25.110574,25.0,25.5,24.5,mm,CMM-001,2024-01-15T14:00:00,BATCH-2024-001
P04,OP2,Bob,3,25.138886,25.0,25.5,24.5,mm,CMM-001,2024-01-15T14:05:00,BATCH-2024-001
P05,OP2,Bob,3,24.69619,25.0,25.5,24.5,mm,CMM-001,2024-01-15T14:10:00,BATCH-2024-001
P06,OP2,Bob,3,24.81203,25.0,25.5,24.5,mm,CMM-001,2024-01-15T14:15:00,BATCH-2024-001
P07,OP2,Bob,3,25.016013,25.0,25.5,24.5,mm,CMM-001,2024-01-15T14:20:00,BATCH-2024-001
P08,OP2,Bob,3,24.954701,25.0,25.5,24.5,mm,CMM-001,2024-01-15T14:25:00,BATCH-2024-001
P09,OP2,Bob,3,25.004768,25.0,25.5,24.5,mm,CMM-001,2024-01-15T14:30:00,BATCH-2024-001
P10,OP2,Bob,3,24.878955,25.0,25.5,24.5,mm,CMM-001,2024-01-15T14:35:00,BATCH-2024-001
P01,OP3,Carlos,3,25.051027,25.0,25.5,24.5,mm,CMM-001,2024-01-15T14:40:00,BATCH-2024-001
P02,OP3,Carlos,3,24.840919,25.0,25.5,24.5,mm,CMM-001,2024-01-15T14:45:00,BATCH-2024-001
P03,OP3,Carlos,3,25.105911,25.0,25.5,24.5,mm,CMM-001,2024-01-15T14:50:00,BATCH-2024-001
P04,OP3,Carlos,3,25.138208,25.0,25.5,24.5,mm,CMM-001,2024-01-15T14:55:00,BATCH-2024-001
P05,OP3,Carlos,3,24.686784,25.0,25.5,24.5,mm,CMM-001,2024-01-15T15:00:00,BATCH-2024-001
P06,OP3,Carlos,3,24.786755,25.0,25.5,24.5,mm,CMM-001,2024-01-15T15:05:00,BATCH-2024-001
P07,OP3,Carlos,3,25.002626,25.0,25.5,24.5,mm,CMM-001,2024-01-15T15:10:00,BATCH-2024-001
P08,OP3,Carlos,3,24.939594,25.0,25.5,24.5,mm,CMM-001,2024-01-15T15:15:00,BATCH-2024-001
P09,OP3,Carlos,3,24.999877,25.0,25.5,24.5,mm,CMM-001,2024-01-15T15:20:00,BATCH-2024-001
P10,OP3,Carlos,3,24.860083,25.0,25.5,24.5,mm,CMM-001,2024-01-15T15:25:00,BATCH-2024-001
