part_id,operator_id,operator_name,trial,measurement_value,nominal_value,USL,LSL,unit,equipment_id,timestamp,batch_id
P05,OP3,Carlos,2,24.714238,25.0,25.5,24.5,mm,CMM-001,2024-01-15T12:30:00,BATCH-2024-001
P06,OP3,Carlos,2,24.81444,25.0,25.5,24.5,mm,CMM-001,2024-01-15T12:35:00,BATCH-2024-001
P07,OP3,Carlos,2,24.988971,25.0,25.5,24.5,mm,CMM-001,2024-01-15T12:40:00,BATCH-2024-001
P08,OP3,Carlos,2,24.918381,25.0,25.5,24.5,mm,CMM-001,2024-01-15T12:45:00,BATCH-2024-001
P09,OP3,Carlos,2,25.009509,25.0,25.5,24.5,mm,CMM-001,2024-01-15T12:50:00,BATCH-2024-001
P10,OP3,Carlos,2,24.847348,25.0,25.5,24.5,mm,CMM-001,2024-01-15T12:55:00,BATCH-2024-001
P01,OP1,Alice,3,25.001059,25.0,25.5,24.5,mm,CMM-001,2024-01-15T13:00:00,BATCH-2024-001
P02,OP1,Alice,3,24.804337,25.0,25.5,24.5,mm,CMM-001,2024-01-15T13:05:00,BATCH-2024-001
P03,OP1,Alice,3,25.080387,25.0,25.5,24.5,mm,CMM-001,2024-01-15T13:10:00,BATCH-2024-001
P04,OP1,Alice,3,25.158485,25.0,25.5,24.5,mm,CMM-001,2024-01-15T13:15:00,BATCH-2024-001
P05,OP1,Alice,3,24.71233,25.0,25.5,24.5,mm,CMM-001,2024-01-15T13:20:00,BATCH-2024-001
P06,OP1,Alice,3,24.82884,25.0,25.5,24.5,mm,CMM-001,2024-01-15T13:25:00,BATCH-2024-001
P07,OP1,Alice,3,25.004222,25.0,25.5,24.5,mm,CMM-001,2024-01-15T13:30:00,BATCH-2024-001
P08,OP1,Alice,3,24.958113,25.0,25.5,24.5,mm,CMM-001,2024-01-15T13:35:00,BATCH-2024-001
P09,OP1,Alice,3,25.019375,25.0,25.5,24.5,mm,CMM-001,2024-01-15T13:40:00,BATCH-2024-001
P10,OP1,Alice,3,24.861216,25.0,25.5,24.5,mm,CMM-001,2024-01-15T13:45:00,BATCH-2024-001
P01,OP2,Bob,3,25.086695,25.0,25.5,24.5,mm,CMM-001,2024-01-15T13:50:00,BATCH-2024-001
P02,OP2,Bob,3,24.845835,25.0,25.5,24.5,mm,CMM-001,2024-01-15T13:55:00,BATCH-2024-001
P03,OP2,Bob,3,25.124861,25.0,25.5,24.5,mm,CMM-001,2024-01-15T14:00:00,BATCH-2024-001
P04,OP2,Bob,3,25.152724,25.0,25.5,24.5,mm,CMM-001,2024-01-15T14:05:00,BATCH-2024-001
P05,OP2,Bob,3,24.69049,25.0,25.5,24.5,mm,CMM-001,2024-01-15T14:10:00,BATCH-2024-001
P06,OP2,Bob,3,24.846717,25.0,25.5,24.5,mm,CMM-001,2024-01-15T14:15:00,BATCH-2024-001
P07,OP2,Bob,3,25.027747,25.0,25.5,24.5,mm,CMM-001,2024-01-15T14:20:00,BATCH-2024-001
P08,OP2,Bob,3,24.978001,25.0,25.5,24.5,mm,CMM-001,2024-01-15T14:25:00,BATCH-2024-001
P09,OP2,Bob,3,25.039306,25.0,25.5,24.5,mm,CMM-001,2024-01-15T14:30:00,BATCH-2024-001
P10,OP2,Bob,3,24.912672,25.0,25.5,24.5,mm,CMM-001,2024-01-15T14:35:00,BATCH-2024-001
P01,OP3,Carlos,3,25.050996,25.0,25.5,24.5,mm,CMM-001,2024-01-15T14:40:00,BATCH-2024-001
P02,OP3,Carlos,3,24.822555,25.0,25.5,24.5,mm,CMM-001,2024-01-15T14:45:00,BATCH-2024-001
P03,OP3,Carlos,3,25.079752,25.0,25.5,24.5,mm,CMM-001,2024-01-15T14:50:00,BATCH-2024-001
P04,OP3,Carlos,3,25.120295,25.0,25.5,24.5,mm,CMM-001,2024-01-15T14:55:00,BATCH-2024-001
P05,OP3,Carlos,3,24.630288,25.0,25.5,24.5,mm,CMM-001,2024-01-15T15:00:00,BATCH-2024-001
P06,OP3,Carlos,3,24.736024,25.0,25.5,24.5,mm,CMM-001,2024-01-15T15:05:00,BATCH-2024-001
P07,OP3,Carlos,3,24.954882,25.0,25.5,24.5,mm,CMM-001,2024-01-15T15:10:00,BATCH-2024-001
P08,OP3,Carlos,3,24.89966,25.0,25.5,24.5,mm,CMM-001,2024-01-15T15:15:00,BATCH-2024-001
P09,OP3,Carlos,3,24.993472,25.0,25.5,24.5,mm,CMM-001,2024-01-15T15:20:00,BATCH-2024-001
P10,OP3,Carlos,3,24.822352,25.0,25.5,24.5,mm,CMM-001,2024-01-15T15:25:00,BATCH-2024-001
